OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO;CONDICION
5585;SENNHEISER;A 1031-U;Antena receptora/transmisora | Pasiva | Omnidireccional | Conector BNC | Rosca de montaje de 3/88” | Rango de frecuencia 450 a 960 MHz 1 c: Negra ;Accesorios de Sonido (rackeras, pie de mics., pipe;>10;501365.81;0.105;0;0.3;720211.983;;https://todomusica.com.ar/30610-large_default/img.jpg;https://todomusica.com.ar/30610-large_default/img.jpg;0;0;0;SI;MAS_VENDIDO
5585;SENNHEISER;A 5000-CP;Antena receptora/transmisora | Pasiva | Direccional | Tipo Domo | Polarizada circularmente | Rango Frec 450 a 960 MHz | p/ Microf Inalambr / Ssit Monitoreo | c: Negro;Accesorios de Sonido (rackeras, pie de mics., pipe;<10;2145471.15;0.105;0;0.3;3081969.313;;https://todomusica.com.ar/30611-large_default/img.jpg;https://todomusica.com.ar/30611-large_default/img.jpg;0;0;0;SI;
5585;SENNHEISER;AC 3200-II;Combinador de antena | Activo de alta potencia | 8:1 | p/Microf o Monitoreo Inalalm |  Potencia de entrada máxima de 250 mW | Rango Frec  500 a 870 MHz | 1U rack;Accesorios de Sonido (rackeras, pie de mics., pipe;<10;8452710.07;0.21;0;0.3;13296112.94;;https://todomusica.com.ar/30603-large_default/img.jpg;https://todomusica.com.ar/30603-large_default/img.jpg; https://todomusica.com.ar/30604-large_default/img.jpg;0;0;SI;
5585;SENNHEISER;AC 41-EU;Combinador de antena | para IEM  G 4 | Activo | 4:1 | Distrib  alimentación de CC  | c/ Fuente de alimentación NT 3-1-US | (4) Cables BNC;Accesorios de Sonido (rackeras, pie de mics., pipe;>10;2012331.27;0.21;0;0.3;3165397.087;;https://todomusica.com.ar/30602-large_default/img.jpg;https://todomusica.com.ar/30601-large_default/img.jpg; https://todomusica.com.ar/30602-large_default/img.jpg;0;0;SI;
5585;SENNHEISER;ACA 3;Combinador de antena Activo  | 2 x 4:1 | Comp c/todos los recept inalámbr de Microf  fijos,  analóg/digitales | Rango Frec 470 a 798 MHz | ncluye:  (3) cables de alimentación (UE, UK, US) | 1 u Rack;Accesorios de Sonido (rackeras, pie de mics., pipe;<10;8444489.89;0.21;0;0.3;13283182.6;;https://todomusica.com.ar/30607-large_default/img.jpg;https://todomusica.com.ar/30607-large_default/img.jpg; https://todomusica.com.ar/30608-large_default/img.jpg;0;0;SI;
5585;SENNHEISER;ADP UHF (470 - 1075 MHZ);Antena de paleta externa ranulada | Pasiva | Direccional | p/Sistemas EW-D /EW-G4 |  Rango UHF (470 - 1075 MHz) | imp 50oH | c: Negra;Accesorios de Sonido (rackeras, pie de mics., pipe;>10;801116.81;0.105;0;0.3;1150804.294;;https://todomusica.com.ar/30609-large_default/img.jpg;https://todomusica.com.ar/30609-large_default/img.jpg;0;0;0;SI;MAS_VENDIDO
5585;SENNHEISER;AVX ME2/835 SET-4;Sistema digital inalámbrico | p/Camara | Combinado | Mano: ME2/835 | Corbatero / solapa omnidireccional ME 2  | ;Microfonos;<10;2744642.06;0.21;0;0.3;4317321.963;;;;;;;SI;
5585;SENNHEISER;AVX-ME2 SET-4;Sistema digital inalámbrico | p/Camara | Combinado | Mano: ME2/835 | Corbatero / solapa omnidireccional ME 2  | ;Microfonos;<10;1943470.01;0.21;0;0.3;3057078.322;;;;;;;SI;
5585;SENNHEISER;AVX-MKE2 SET-4;Sistema digital inalámbrico | p/Camara | Corbatero / solapa omnidireccional ME 2  | ;Microfonos;<10;2515752.11;0.21;0;0.3;3957278.065;;;;;;;SI;
5585;SENNHEISER;AVX-835 SET-4;Sistema digital inalámbrico | p/Camara | Mano: ME2/835 |;Microfonos;<10;2172382.85;0.21;0;0.3;3417158.229;;;;;;;SI;
5585;SENNHEISER;AWM UHF (470 - 694 MHZ);Antena AWM  |direccional activa  |para Evolution Wireless Digital | ;Accesorios de Sonido (rackeras, pie de mics., pipe;<10;1027818.65;0.21;0;0.3;1616758.743;;;;;;;SI;
